Identificação do Produto,Descrição do Produto,Tipo do Produto,Operação,Qtde Prevista,Unidade,Qtde Cúbica,Custo Unitário,Custo Total,Ficha
"MOTOR VENTILADOR 85W DC FTI105,125RD85HA1/310VDC/190CM - 13080004000184",04.MP.I.80120,01 - Matéria Prima,TAMPA VENTILADOR,1,PC,,"303,27836","303,27836",
"HELICE 3 PAS FTI105,125 PLASTICO 560*139/ASG20/(300Z52300)/SW - 13110002001370",03.MP.I.80041,01 - Matéria Prima,TAMPA VENTILADOR,1,PC,,"43,72813","43,72813",
CONTATORA MONOFASICA 2 POLOS 40 AMPERES - CONTACTOR LTC-2S-40 2P 40A 208/240V,04.MP.I.60604,01 - Matéria Prima,QUADRO ELÉTRICO,2,UN,,"22,15","44,3",
"SENSOR DE FLUXO FTi UNIVERSAL /G3/4""FM/ - 13110002001185 13110002000425",04.MP.I.80019,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"47,95659","47,95659",
BARRA DE TERMINAIS ALIMENTACAO - 5 PORT/A30/450V 4MM2 - APERTO DE PARAFUSO - 13080005000282/13080005000316,04.MP.I.80003,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"14,61853","14,61853",
EVAPORADORA FT160 V1 N03 3B 2901 12X2675X1264 02004870H#09,05.MP.N.71202,01 - Matéria Prima,MONTAGEM,1,PC,,"2221,63363","2221,63363",
PLACA ELETRONICA 105D MONO - 201-A19022J/21A/MVB33FKQMC-L/HE - 13080002000435,04.MP.I.80206,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"1219,40784","1219,40784",
"VISOR IHM WIFI FTI25,35,45,55,75,105D TYWE3SWIFI/ - 130800007000726",04.MP.I.80203,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"157,57969","157,57969",
"SENSOR TEMP.ENTRADA AGUA FRIA AZUL FTI45,55,75,105D/20K/XH-2Y/1.2m/HET - 13080009000259",04.MP.I.80015,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"17,42383","17,42383",
"SENSOR TEMP. SAIDA DE AGUA VERMELHO FTI45,55,75,105D 20K/XH-2Y/1.2m/HET - 13080009000250",04.MP.I.80011,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"20,93629","20,93629",
"SENSOR TEMP. AMBIENTE PRETO FTI45,55,75,105D /15K/XH-2Y/0.75m//HET - 13080009000251",04.MP.I.80009,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"13,899","13,899",
"SENSOR TEMP. DESCARGA ROXO FTI45,55,75,105D /50K/XH-2Y/1.2m/HET - 13080009000249",04.MP.I.80010,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"21,29856","21,29856",
"SENSOR TEMP. GAS SAIDA CONDENSADORA VERDE FTI45,55,75,105D /20K/XH-2Y/1.2m/HET - 13080009000260",04.MP.I.80014,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"17,78485","17,78485",
"SENSOR TEMP. EVAPORADORA 2 BRANCO FTI45,55,75,105D/20K/XH-2Y/1.2m/HET - 13080009000258",04.MP.I.80017,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"18,16845","18,16845",
"SENSOR TEMP. SUCCAO AMARELO FTI45,55,75,105D/20K/XH-2Y/1.2m/HET - 13080009000257",04.MP.I.80012,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"17,79329","17,79329",
COMPRESSOR 105D 105L DC INVERTER R32 38658BTU/11370W Mitsubishi/5P/MVB33FKQMC-L - 13160001000135,04.MP.I.80112,01 - Matéria Prima,MONTAGEM,1,PC,,"1534,40192","1534,40192",
CONDENSADORA FTI115 BR V1,05.MP.N.71118,01 - Matéria Prima,MONTAGEM,1,PC,,850,850,
CHAVE COMUTADOR KNOB 2NA - 3 Position Selector Pushbutton CB2-ED33 2N/O BlackSwitch,04.MP.I.60000,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"2,68","2,68",
REATOR FTI105D - R2550HSA/25A/5.0mH/HET - 13080007000275,04.MP.I.80062,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"92,75137","92,75137",
VALVULA DE SERVICO 1/4 - 5CM - ACCESS VALVE AV04A05T-6 1/4 - 5CM - THICKNESS 0.6MM,05.MP.I.62015,01 - Matéria Prima,KIT DE COBRE,4,PC,,"2,15","8,6",
"VALVULA REVERSAO FTI105,125 DSF-20-2230/ - 13070002001183",05.MP.I.80045,01 - Matéria Prima,KIT DE COBRE,1,PC,,"126,64991","126,64991",
"BOBINA VALVULA EXPANSAO DPFX07-180 FTI105,125 - 13080010000610",04.MP.I.80083,01 - Matéria Prima,KIT DE COBRE,1,UN,,"35,08812","35,08812",
BASE N03.3.0 - REF: FTi145 FTi115 BR ABS PRETO - FOSCO - TEXTURA COURO,03.MP.N.50003,01 - Matéria Prima,BASE,1,PC,,"312,70085","312,70085",
PAINEL FRONTAL N03.3.3 REF: FTi115DBR ABS PRETO - FOSCO - TEXTURA COURO,03.MP.N.50212,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"244,44444","244,44444",
TAMPA SUPERIOR VENTILADOR N03.3.0 REF: FTi BR 115/145 ABS PRETO - FOSCO,03.MP.N.50319,01 - Matéria Prima,TAMPA VENTILADOR,1,PC,,"245,73504","245,73504",
RELE 30A 220VAC JQX-105F-4pinos - 13080003000402,04.MP.I.80024,01 - Matéria Prima,QUADRO ELÉTRICO,1,PC,,"20,24801","20,24801",
